<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
SPFB.RTS;0;20230428;090100;101010.000000000;2
SPFB.RTS;0;20230428;090100;101010.000000000;1
SPFB.RTS;0;20230428;090100;101000.000000000;1
SPFB.RTS;0;20230428;090100;101000.000000000;2
SPFB.RTS;0;20230428;090100;101000.000000000;1
SPFB.RTS;0;20230428;090100;101000.000000000;9
SPFB.RTS;0;20230428;090100;101000.000000000;2
SPFB.RTS;0;20230428;090100;101000.000000000;1
SPFB.RTS;0;20230428;090100;101000.000000000;2
SPFB.RTS;0;20230428;090100;100990.000000000;1
SPFB.RTS;0;20230428;090100;100990.000000000;5
SPFB.RTS;0;20230428;090100;100990.000000000;1
SPFB.RTS;0;20230428;090100;100990.000000000;1
SPFB.RTS;0;20230428;090100;100990.000000000;1
SPFB.RTS;0;20230428;090100;100990.000000000;2
SPFB.RTS;0;20230428;090100;100990.000000000;5
SPFB.RTS;0;20230428;090100;100990.000000000;1
SPFB.RTS;0;20230428;090100;100990.000000000;1
SPFB.RTS;0;20230428;090100;100990.000000000;1
SPFB.RTS;0;20230428;090100;100990.000000000;2
SPFB.RTS;0;20230428;090100;100990.000000000;1
SPFB.RTS;0;20230428;090100;100990.000000000;1
SPFB.RTS;0;20230428;090100;100980.000000000;13
SPFB.RTS;0;20230428;090100;101030.000000000;1
SPFB.RTS;0;20230428;090100;101030.000000000;1
SPFB.RTS;0;20230428;090100;101030.000000000;2
SPFB.RTS;0;20230428;090100;101000.000000000;2
SPFB.RTS;0;20230428;090100;100990.000000000;2
SPFB.RTS;0;20230428;090100;100990.000000000;1
SPFB.RTS;0;20230428;090100;100980.000000000;10
SPFB.RTS;0;20230428;090100;100980.000000000;1
SPFB.RTS;0;20230428;090100;100980.000000000;1
SPFB.RTS;0;20230428;090100;100980.000000000;1
SPFB.RTS;0;20230428;090100;100980.000000000;1
SPFB.RTS;0;20230428;090100;100980.000000000;2
SPFB.RTS;0;20230428;090100;100980.000000000;1
SPFB.RTS;0;20230428;090100;100980.000000000;1
SPFB.RTS;0;20230428;090100;100980.000000000;1
SPFB.RTS;0;20230428;090100;100980.000000000;2
SPFB.RTS;0;20230428;090100;100970.000000000;1
SPFB.RTS;0;20230428;090100;100970.000000000;1
SPFB.RTS;0;20230428;090100;100970.000000000;1
SPFB.RTS;0;20230428;090100;100970.000000000;1
SPFB.RTS;0;20230428;090100;100970.000000000;1
SPFB.RTS;0;20230428;090100;100970.000000000;2
SPFB.RTS;0;20230428;090100;100970.000000000;4
SPFB.RTS;0;20230428;090100;100980.000000000;1
SPFB.RTS;0;20230428;090100;100980.000000000;1
SPFB.RTS;0;20230428;090100;100970.000000000;1
SPFB.RTS;0;20230428;090100;100970.000000000;2
SPFB.RTS;0;20230428;090100;100970.000000000;1
SPFB.RTS;0;20230428;090100;100970.000000000;1
SPFB.RTS;0;20230428;090100;100970.000000000;1
SPFB.RTS;0;20230428;090100;100970.000000000;1
SPFB.RTS;0;20230428;090100;100970.000000000;1
SPFB.RTS;0;20230428;090100;100980.000000000;2
SPFB.RTS;0;20230428;090100;100970.000000000;1
SPFB.RTS;0;20230428;090101;100980.000000000;2
SPFB.RTS;0;20230428;090101;100970.000000000;1
SPFB.RTS;0;20230428;090101;100980.000000000;2
SPFB.RTS;0;20230428;090101;100970.000000000;2
SPFB.RTS;0;20230428;090101;100970.000000000;1
SPFB.RTS;0;20230428;090101;100970.000000000;2
SPFB.RTS;0;20230428;090101;100970.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;8
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;2
SPFB.RTS;0;20230428;090101;100960.000000000;2
SPFB.RTS;0;20230428;090101;100960.000000000;2
SPFB.RTS;0;20230428;090101;100960.000000000;2
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;4
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;2
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;2
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;5
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100990.000000000;1
SPFB.RTS;0;20230428;090101;101000.000000000;1
SPFB.RTS;0;20230428;090101;101000.000000000;1
SPFB.RTS;0;20230428;090101;100970.000000000;1
SPFB.RTS;0;20230428;090101;100960.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100940.000000000;1
SPFB.RTS;0;20230428;090101;100940.000000000;1
SPFB.RTS;0;20230428;090101;100990.000000000;1
SPFB.RTS;0;20230428;090101;100980.000000000;1
SPFB.RTS;0;20230428;090101;100990.000000000;1
SPFB.RTS;0;20230428;090101;101010.000000000;1
SPFB.RTS;0;20230428;090101;100980.000000000;1
SPFB.RTS;0;20230428;090101;101030.000000000;1
SPFB.RTS;0;20230428;090101;100990.000000000;1
SPFB.RTS;0;20230428;090101;100970.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100940.000000000;4
SPFB.RTS;0;20230428;090101;100940.000000000;1
SPFB.RTS;0;20230428;090101;100940.000000000;1
SPFB.RTS;0;20230428;090101;100940.000000000;1
SPFB.RTS;0;20230428;090101;100940.000000000;1
SPFB.RTS;0;20230428;090101;100940.000000000;1
SPFB.RTS;0;20230428;090101;100940.000000000;14
SPFB.RTS;0;20230428;090101;100940.000000000;1
SPFB.RTS;0;20230428;090101;100930.000000000;1
SPFB.RTS;0;20230428;090101;100930.000000000;2
SPFB.RTS;0;20230428;090101;100930.000000000;1
SPFB.RTS;0;20230428;090101;100930.000000000;2
SPFB.RTS;0;20230428;090101;100930.000000000;1
SPFB.RTS;0;20230428;090101;100930.000000000;1
SPFB.RTS;0;20230428;090101;100930.000000000;1
SPFB.RTS;0;20230428;090101;100930.000000000;2
SPFB.RTS;0;20230428;090101;100930.000000000;1
SPFB.RTS;0;20230428;090101;100930.000000000;1
SPFB.RTS;0;20230428;090101;100930.000000000;1
SPFB.RTS;0;20230428;090101;100930.000000000;1
SPFB.RTS;0;20230428;090101;100930.000000000;1
SPFB.RTS;0;20230428;090101;100920.000000000;4
SPFB.RTS;0;20230428;090101;100920.000000000;1
SPFB.RTS;0;20230428;090101;100920.000000000;1
SPFB.RTS;0;20230428;090101;100920.000000000;1
SPFB.RTS;0;20230428;090101;100920.000000000;1
SPFB.RTS;0;20230428;090101;100920.000000000;1
SPFB.RTS;0;20230428;090101;100920.000000000;1
SPFB.RTS;0;20230428;090101;100920.000000000;1
SPFB.RTS;0;20230428;090101;100920.000000000;1
SPFB.RTS;0;20230428;090101;100920.000000000;2
SPFB.RTS;0;20230428;090101;100920.000000000;1
SPFB.RTS;0;20230428;090101;100920.000000000;1
SPFB.RTS;0;20230428;090101;100920.000000000;1
SPFB.RTS;0;20230428;090101;100920.000000000;1
SPFB.RTS;0;20230428;090101;100920.000000000;1
SPFB.RTS;0;20230428;090101;100920.000000000;1
SPFB.RTS;0;20230428;090101;100920.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;1
SPFB.RTS;0;20230428;090101;100950.000000000;2
SPFB.RTS;0;20230428;090101;100940.000000000;2
SPFB.RTS;0;20230428;090101;100930.000000000;1
SPFB.RTS;0;20230428;090101;100940.000000000;1
SPFB.RTS;0;20230428;090101;100940.000000000;1
SPFB.RTS;0;20230428;090101;100940.000000000;1
